"111","09","70","Sonbhadra",NULL,NULL
"111","09","72","JYOTIBAPHULLEYNAGAR",NULL,NULL
"111","10","01","Pashchim Champaran",NULL,NULL
"111","10","02","Purba Champaran",NULL,NULL
"111","10","03","Sheohar",NULL,NULL
"111","10","04","Sitamarhi",NULL,NULL
"111","10","05","Madhubani",NULL,NULL
"111","10","06","Supaul",NULL,NULL
"111","10","07","Araria",NULL,NULL
"111","10","08","Kishanganj",NULL,NULL
"111","10","09","Purnia",NULL,NULL
"111","10","10","Katihar",NULL,NULL
"111","10","11","Madhepura",NULL,NULL
"111","10","12","Saharsa",NULL,NULL
"111","10","13","Darbhanga",NULL,NULL
"111","10","14","Muzaffarpur",NULL,NULL
"111","10","15","Gopalganj",NULL,NULL
"111","10","16","Siwan",NULL,NULL
"111","10","17","Saran",NULL,NULL
"111","10","18","Vaishali",NULL,NULL
"111","10","19","Samastipur",NULL,NULL
"111","10","20","Begusarai",NULL,NULL
"111","10","21","Khagaria",NULL,NULL
"111","10","22","Bhagalpur",NULL,NULL
"111","10","23","Banka",NULL,NULL
"111","10","24","Munger",NULL,NULL
"111","10","25","Lakhisarai",NULL,NULL
"111","10","26","Sheikhpura",NULL,NULL
"111","10","27","Nalanda",NULL,NULL
"111","10","28","Patna",NULL,NULL
"111","10","29","Bhojpur",NULL,NULL
"111","10","30","Buxar",NULL,NULL
"111","10","31","Kaimur (Bhabua)",NULL,NULL
"111","10","32","Rohtas",NULL,NULL
"111","10","33","Jehanabad",NULL,NULL
"111","10","34","Aurangabad",NULL,NULL
"111","10","35","Gaya",NULL,NULL
"111","10","36","Nawada",NULL,NULL
"111","10","37","Jamui",NULL,NULL
"111","10","38","Chapra",NULL,NULL
"111","11","01","North",NULL,NULL
"111","11","02","West",NULL,NULL
"111","11","03","South",NULL,NULL
"111","11","04","East",NULL,NULL
"111","12","01","Lower Dibang",NULL,NULL
"111","12","02","Tawang",NULL,NULL
"111","12","03","East Kameng",NULL,NULL
"111","12","04","Papum Pare",NULL,NULL
"111","12","05","Lower Subansiri",NULL,NULL
"111","12","06","Upper Subansiri",NULL,NULL
"111","12","07","West Siang",NULL,NULL
